id,name,page_no,stargazers_count,forks_count,open_issues_count,has_wiki,subscribers_count,github_contributions_count
1,mocha,0,8134,1232,195,1,301,243
2,rails,0,28750,11641,884,0,2081,2583
3,activerecord,0,,,,,,
4,rspec,0,1442,142,0,1,72,16
5,jquery,0,37168,9655,75,1,3085,244
6,react,0,33093,5302,589,1,2435,564
7,activesupport,0,,,,,,
8,lodash,0,12434,1156,0,1,452,162
9,babel,0,12316,758,174,0,457,163
10,commander,0,1005,72,0,1,26,22
11,bundler,0,3143,1444,90,0,137,473
12,angular,0,7343,1939,742,1,1014,184
13,react-dom,0,33093,5302,589,1,2435,564
14,actionpack,0,,,,,,
15,railties,0,,,,,,
16,express,0,22051,4286,92,1,1313,185
17,gulp,0,18131,2065,43,0,899,160
18,coffee-script,0,12316,1678,313,1,579,187
19,webpack,0,10633,764,495,1,414,107
20,request,0,9227,1216,185,1,286,253
21,uglify-js,0,4150,472,240,1,220,65
22,nokogiri,0,3590,511,217,1,126,116
23,colors,0,3590,511,217,1,126,116
24,jshint-stylish,0,494,39,0,0,22,6
25,rake,0,471,338,38,0,32,106
26,angular-mocks,0,7343,1939,742,1,1014,184
27,react-addons-test-utils,0,33093,5302,589,1,2435,564
28,activemodel,0,,,,,,
29,moment,0,23813,2941,198,0,773,304
30,underscore,0,16741,3775,65,1,840,232
31,mocha,1,8134,1232,195,1,301,243
32,rails,1,28750,11641,884,0,2081,2583
33,activerecord,1,,,,,,
34,rspec,1,1442,142,0,1,72,16
35,jquery,1,37168,9655,75,1,3085,244
36,react,1,33093,5302,589,1,2435,564
37,activesupport,1,,,,,,
38,lodash,1,12434,1156,0,1,452,162
39,babel,1,12316,758,174,0,457,163
40,commander,1,1005,72,0,1,26,22
41,bundler,1,3143,1444,90,0,137,473
42,angular,1,7343,1939,742,1,1014,184
43,react-dom,1,33093,5302,589,1,2435,564
44,actionpack,1,,,,,,
45,railties,1,,,,,,
46,express,1,22051,4286,92,1,1313,185
47,gulp,1,18131,2065,43,0,899,160
48,coffee-script,1,12316,1678,313,1,579,187
49,webpack,1,10633,764,495,1,414,107
50,request,1,9227,1216,185,1,286,253
51,uglify-js,1,4150,472,240,1,220,65
52,nokogiri,1,3590,511,217,1,126,116
53,colors,1,3590,511,217,1,126,116
54,jshint-stylish,1,494,39,0,0,22,6
55,rake,1,471,338,38,0,32,106
56,angular-mocks,1,7343,1939,742,1,1014,184
57,react-addons-test-utils,1,33093,5302,589,1,2435,564
58,activemodel,1,,,,,,
59,moment,1,23813,2941,198,0,773,304
60,underscore,1,16741,3775,65,1,840,232
61,async,2,15685,1557,56,1,591,136
62,babel-core,2,12316,758,174,0,457,163
63,q,2,10481,868,91,1,401,63
64,bluebird,2,9222,1067,23,1,286,115
65,browserify,2,8850,793,280,1,293,153
66,sass,2,7169,1427,161,0,560,179
67,jshint,2,5849,1236,355,1,281,217
68,phpunit/phpunit,2,4866,1117,53,1,309,192
69,eslint,2,3588,687,186,0,148,277
70,istanbul,2,3557,377,134,1,106,75
71,chalk,2,2808,76,2,0,53,16
72,sinon,2,2808,76,2,0,53,16
73,webmock,2,1993,285,49,1,29,123
74,minitest,2,1735,304,35,1,56,2
75,glob,2,1633,137,26,1,53,25
76,tape,2,1596,103,57,1,48,37
77,minimist,2,1219,65,32,1,26,13
78,load-grunt-tasks,2,862,50,1,0,23,9
79,should,2,862,50,1,0,23,9
80,body-parser,2,781,142,14,0,42,10
81,rimraf,2,684,57,9,1,22,17
82,through2,2,630,43,13,1,24,10
83,gulp-util,2,480,59,7,0,16,33
84,gulp-uglify,2,476,71,7,1,21,13
85,coveralls,2,365,76,11,1,10,42
86,del,2,306,11,3,0,9,7
87,bootstrap,2,90207,38180,414,0,5731,652
88,actionmailer,2,,,,,,
89,socket.io,2,90207,38180,414,0,5731,652
90,devise,2,14173,3116,35,1,474,431
91,less,3,14173,3116,35,1,474,431
92,babel-preset-es2015,3,12316,758,174,0,457,163
93,grunt,3,10309,1265,142,1,612,56
94,react-router,3,9060,1682,16,0,415,256
95,marked,3,7957,1139,362,1,253,45
96,karma,3,6149,1002,270,0,318,194
97,browser-sync,3,5960,332,108,1,210,46
98,redis,3,5440,785,35,1,240,69
99,nodemailer,3,5120,497,6,0,188,64
100,laravel/framework,3,4498,2584,88,0,688,623
101,pry,3,3895,355,143,1,115,121
102,httparty,3,3397,545,24,1,47,134
103,faker,3,3221,678,87,1,90,181
104,redcarpet,3,3189,356,62,1,106,84
105,thor,3,3049,336,152,1,70,116
106,rack,3,2557,1011,87,1,138,280
107,debug,3,2459,228,55,1,68,40
108,chai,3,2414,252,43,1,86,92
109,requirejs,3,2414,252,43,1,86,92
110,grunt-contrib-uglify,3,1129,255,50,1,52,43
111,watchify,3,1108,125,8,1,30,36
112,semver,3,1011,98,11,1,46,34
113,fs-extra,3,1008,87,39,1,47,24
114,babelify,3,764,47,4,1,19,20
115,grunt-concurrent,3,734,50,1,0,25,10
116,grunt-contrib-jshint,3,634,163,17,1,28,37
117,gulp-imagemin,3,609,49,5,0,15,13
118,babel-loader,3,623,48,45,1,16,31
119,jquery-rails,3,599,297,2,1,44,53
120,babel-eslint,3,597,34,12,0,30,18
121,sass-rails,4,590,275,22,1,61,54
122,gulp-babel,4,523,40,6,0,9,12
123,run-sequence,4,505,25,0,1,14,5
124,time-grunt,4,483,61,10,0,14,14
125,sinon-chai,4,450,43,6,1,17,12
126,grunt-contrib-clean,4,421,50,8,0,15,12
127,json_pure,4,384,142,77,1,20,42
128,gulp-minify-css,4,346,46,1,1,10,19
129,webpack-dev-server,4,346,158,131,1,26,47
130,gulp-autoprefixer,4,317,20,0,0,19,4
131,gulp-jshint,4,290,52,15,0,11,33
132,gulp-rename,4,279,38,6,1,14,13
133,angular-route,4,7343,1939,742,1,1014,184
134,angular-animate,4,7343,1939,742,1,1014,184
135,d3,4,44548,11855,243,1,2040,107
136,font-awesome,4,38162,6419,3219,1,867,57
137,react-tools,4,33093,5302,589,1,2435,564
138,activeresource,4,28750,11641,884,0,2081,2583
139,activejob,4,,,,,,
140,backbone,4,23703,5308,47,1,1682,284
141,bower,4,13408,1719,241,1,853,171
142,lodash.assign,4,12434,1156,0,1,452,162
143,babel-runtime,4,12316,758,174,0,457,163
144,babel-preset-react,4,12316,758,174,0,457,163
145,babel-cli,4,12316,758,174,0,457,163
146,symfony/symfony,4,11335,4468,897,0,1027,479
147,immutable,4,10230,500,206,1,318,64
148,jasmine-core,4,10057,1613,52,1,459,114
149,jade,4,10057,1613,52,1,459,114
150,hubot,4,9605,2147,131,1,465,221
151,handlebars,5,9605,2147,131,1,465,221
152,mustache,5,9605,2147,131,1,465,221
153,mongoose,5,8261,1298,408,1,458,212
154,npm,5,8002,1636,1697,1,457,324
155,postcss,5,7848,375,33,0,347,150
156,capistrano,5,7794,1298,65,1,343,116
157,rx,5,7059,702,61,1,324,163
158,passport,5,6761,442,144,1,245,22
159,capybara,5,6640,967,42,0,235,198
160,highlight.js,5,6640,967,42,0,235,198
161,stylus,5,6449,874,128,1,370,143
