Title	Venue	Year	Authors
State of the Journal Editorial.	IEEE Trans. Software Eng.	2015	["Matthew B. Dwyer"]
A Systematic Study on Explicit-State Non-Zenoness Checking for Timed Automata.	IEEE Trans. Software Eng.	2015	["Ting Wang", "Jun Sun", "Xinyu Wang", "Yang Liu", "Yuanjie Si", "Jin Song Dong", "Xiaohu Yang", "Xiaohong Li"]
Customizing the Representation Capabilities of Process Models: Understanding the Effects of Perceived Modeling Impediments.	IEEE Trans. Software Eng.	2015	["Binny M. Samuel", "Linwood Watkins", "Andrew Ehle", "Vijay Khatri"]
Investigating Country Differences in Mobile App User Behavior and Challenges for Software Engineering.	IEEE Trans. Software Eng.	2015	["Soo Ling Lim", "Peter J. Bentley", "Natalie Kanakam", "Fuyuki Ishikawa", "Shinichi Honiden"]
The Design Space of Bug Fixes and How Developers Navigate It.	IEEE Trans. Software Eng.	2015	["Emerson R. Murphy-Hill", "Thomas Zimmermann", "Christian Bird", "Nachiappan Nagappan"]
Who Will Stay in the FLOSS Community? Modeling Participant's Initial Behavior.	IEEE Trans. Software Eng.	2015	["Minghui Zhou", "Audris Mockus"]
Exploiting Model Morphology for Event-Based Testing.	IEEE Trans. Software Eng.	2015	["Fevzi Belli", "Mutlu Beyazit"]
How Software Designers Interact with Sketches at the Whiteboard.	IEEE Trans. Software Eng.	2015	["Nicolas Mangano", "Thomas D. LaToza", "Marian Petre", "Andr\u00e9 van der Hoek"]
Quantitative Evaluation of Model-Driven Performance Analysis and Simulation of Component-Based Architectures.	IEEE Trans. Software Eng.	2015	["Fabian Brosig", "Philipp Meier", "Steffen Becker", "Anne Koziolek", "Heiko Koziolek", "Samuel Kounev"]
Replicating and Re-Evaluating the Theory of Relative Defect-Proneness.	IEEE Trans. Software Eng.	2015	["Mark D. Syer", "Meiyappan Nagappan", "Bram Adams", "Ahmed E. Hassan"]
STAR: Stack Trace Based Automatic Crash Reproduction via Symbolic Execution.	IEEE Trans. Software Eng.	2015	["Ning Chen", "Sunghun Kim"]
Automated Synthesis of Mediators to Support Component Interoperability.	IEEE Trans. Software Eng.	2015	["Amel Bennaceur", "Val\u00e9rie Issarny"]
Embedding, Evolution, and Validation of Model-Driven Spreadsheets.	IEEE Trans. Software Eng.	2015	["J\u00e1come Cunha", "Jo\u00e3o Paulo Fernandes", "Jorge Mendes", "Jo\u00e3o Saraiva"]
Estimating Computational Requirements in Multi-Threaded Applications.	IEEE Trans. Software Eng.	2015	["Juan F. P\u00e9rez", "Giuliano Casale", "Sergio Pacheco-Sanchez"]
Generating Complete Controllable Test Suites for Distributed Testing.	IEEE Trans. Software Eng.	2015	["Robert M. Hierons"]
Instance Generator and Problem Representation to Improve Object Oriented Code Coverage.	IEEE Trans. Software Eng.	2015	["Abdelilah Sakti", "Gilles Pesant", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc"]
The Impact of View Histories on Edit Recommendations.	IEEE Trans. Software Eng.	2015	["Seonah Lee", "Sungwon Kang", "Sunghun Kim", "Matthew Staats"]
Are Slice-Based Cohesion Metrics Actually Useful in Effort-Aware Post-Release Fault-Proneness Prediction? An Empirical Study.	IEEE Trans. Software Eng.	2015	["Yibiao Yang", "Yuming Zhou", "Hongmin Lu", "Lin Chen", "Zhenyu Chen", "Baowen Xu", "Hareton K. N. Leung", "Zhenyu Zhang"]
Improving Multi-Objective Test Case Selection by Injecting Diversity in Genetic Algorithms.	IEEE Trans. Software Eng.	2015	["Annibale Panichella", "Rocco Oliveto", "Massimiliano Di Penta", "Andrea De Lucia"]
The Impact of API Change- and Fault-Proneness on the User Ratings of Android Apps.	IEEE Trans. Software Eng.	2015	["Gabriele Bavota", "Mario Linares V\u00e1squez", "Carlos Eduardo Bernal-C\u00e1rdenas", "Massimiliano Di Penta", "Rocco Oliveto", "Denys Poshyvanyk"]
Using Declarative Specification to Improve the Understanding, Extensibility, and Comparison of Model-Inference Algorithms.	IEEE Trans. Software Eng.	2015	["Ivan Beschastnikh", "Yuriy Brun", "Jenny Abrahamson", "Michael D. Ernst", "Arvind Krishnamurthy"]
Guided Mutation Testing for JavaScript Web Applications.	IEEE Trans. Software Eng.	2015	["Shabnam Mirshokraie", "Ali Mesbah", "Karthik Pattabiraman"]
Integer Parameter Synthesis for Real-Time Systems.	IEEE Trans. Software Eng.	2015	["Aleksandra Jovanovic", "Didier Lime", "Olivier H. Roux"]
Mining Version Histories for Detecting Code Smells.	IEEE Trans. Software Eng.	2015	["Fabio Palomba", "Gabriele Bavota", "Massimiliano Di Penta", "Rocco Oliveto", "Denys Poshyvanyk", "Andrea De Lucia"]
Static Fault Localization in Model Transformations.	IEEE Trans. Software Eng.	2015	["Loli Burgue\u00f1o", "Javier Troya", "Manuel Wimmer", "Antonio Vallecillo"]
The Oracle Problem in Software Testing: A Survey.	IEEE Trans. Software Eng.	2015	["Earl T. Barr", "Mark Harman", "Phil McMinn", "Muzammil Shahbaz", "Shin Yoo"]
Automatic Detection and Resolution of Lexical Ambiguity in Process Models.	IEEE Trans. Software Eng.	2015	["Fabian Pittke", "Henrik Leopold", "Jan Mendling"]
Evaluating Legal Implementation Readiness Decision-Making.	IEEE Trans. Software Eng.	2015	["Aaron K. Massey", "Paul N. Otto", "Annie I. Ant\u00f3n"]
Extracting Development Tasks to Navigate Software Documentation.	IEEE Trans. Software Eng.	2015	["Christoph Treude", "Martin P. Robillard", "Barth\u00e9l\u00e9my Dagenais"]
Forecasting Java Software Evolution Trends Employing Network Models.	IEEE Trans. Software Eng.	2015	["Theodore Chaikalis", "Alexander Chatzigeorgiou"]
Range Fixes: Interactive Error Resolution for Software Configuration.	IEEE Trans. Software Eng.	2015	["Yingfei Xiong", "Hansheng Zhang", "Arnaud Hubaux", "Steven She", "Jie Wang", "Krzysztof Czarnecki"]
Aligning Qualitative, Real-Time, and Probabilistic Property Specification Patterns Using a Structured English Grammar.	IEEE Trans. Software Eng.	2015	["Marco Autili", "Lars Grunske", "Markus Lumpe", "Patrizio Pelliccione", "Antony Tang"]
BLISS: Improved Symbolic Execution by Bounded Lazy Initialization with SAT Support.	IEEE Trans. Software Eng.	2015	["Nicol\u00e1s Rosner", "Jaco Geldenhuys", "Nazareno Aguirre", "Willem Visser", "Marcelo F. Frias"]
Extending the UML Statecharts Notation to Model Security Aspects.	IEEE Trans. Software Eng.	2015	["Mohamed El-Attar", "Hamza Luqman", "P\u00e9ter K\u00e1rp\u00e1ti", "Guttorm Sindre", "Andreas L. Opdahl"]
