Title	Venue	Year	Authors
Detecting redundant CSS rules in HTML5 applications: a tree rewriting approach.	OOPSLA	2015	["Matthew Hague", "Anthony Widjaja Lin", "C.-H. Luke Ong"]
SATCheck: SAT-directed stateless model checking for SC and TSO.	OOPSLA	2015	["Brian Demsky", "Patrick Lam"]
Programming with enumerable sets of structures.	OOPSLA	2015	["Ivan Kuraj", "Viktor Kuncak", "Daniel Jackson"]
Stateless model checking of event-driven applications.	OOPSLA	2015	["Casper Svenning Jensen", "Anders M\u00f8ller", "Veselin Raychev", "Dimitar Dimitrov", "Martin T. Vechev"]
Synthesis of layout engines from relational constraints.	OOPSLA	2015	["Thibaud Hottelier", "Rastislav Bod\u00edk"]
A sound and optimal incremental build system with dynamic dependencies.	OOPSLA	2015	["Sebastian Erdweg", "Moritz Lichter", "Manuel Weiel"]
FlashMeta: a framework for inductive program synthesis.	OOPSLA	2015	["Oleksandr Polozov", "Sumit Gulwani"]
Scrap your boilerplate with object algebras.	OOPSLA	2015	["Haoyuan Zhang", "Zewei Chu", "Bruno C. d. S. Oliveira", "Tijs van der Storm"]
Conditionally correct superoptimization.	OOPSLA	2015	["Rahul Sharma", "Eric Schkufza", "Berkeley R. Churchill", "Alex Aiken"]
Selective control-flow abstraction via jumping.	OOPSLA	2015	["Sam Blackshear", "Bor-Yuh Evan Chang", "Manu Sridharan"]
Automating grammar comparison.	OOPSLA	2015	["Ravichandhran Madhavan", "Mika\u00ebl Mayer", "Sumit Gulwani", "Viktor Kuncak"]
Reasoning about the POSIX file system: local update and global pathnames.	OOPSLA	2015	["Gian Ntzik", "Philippa Gardner"]
AutoMO: automatic inference of memory order parameters for C/C++11.	OOPSLA	2015	["Peizhao Ou", "Brian Demsky"]
Valor: efficient, software-only region conflict exceptions.	OOPSLA	2015	["Swarnendu Biswas", "Minjia Zhang", "Michael D. Bond", "Brandon Lucia"]
Automatic memory reclamation for lock-free data structures.	OOPSLA	2015	["Nachshon Cohen", "Erez Petrank"]
Protocol-based verification of message-passing parallel programs.	OOPSLA	2015	["Hugo A. L\u00f3pez", "Eduardo R. B. Marques", "Francisco Martins", "Nicholas Ng", "C\u00e9sar Santos", "Vasco Thudichum Vasconcelos", "Nobuko Yoshida"]
Interactively verifying absence of explicit information flows in Android apps.	OOPSLA	2015	["Osbert Bastani", "Saswat Anand", "Alex Aiken"]
ShamDroid: gracefully degrading functionality in the presence of limited resource access.	OOPSLA	2015	["Lucas Brutschy", "Pietro Ferrara", "Omer Tripp", "Marco Pistoia"]
Scalable race detection for Android applications.	OOPSLA	2015	["Pavol Bielik", "Veselin Raychev", "Martin T. Vechev"]
Versatile yet lightweight record-and-replay for Android.	OOPSLA	2015	["Yongjian Hu", "Tanzirul Azim", "Iulian Neamtiu"]
Declarative fence insertion.	OOPSLA	2015	["John Bender", "Mohsen Lesani", "Jens Palsberg"]
Finding deep compiler bugs via guided stochastic program mutation.	OOPSLA	2015	["Vu Le", "Chengnian Sun", "Zhendong Su"]
Vectorization of apply to reduce interpretation overhead of R.	OOPSLA	2015	["Haichuan Wang", "David A. Padua", "Peng Wu"]
Synthesizing Java expressions from free-form queries.	OOPSLA	2015	["Tihomir Gvero", "Viktor Kuncak"]
Accurate profiling in the presence of dynamic compilation.	OOPSLA	2015	["Yudi Zheng", "Lubom\u00edr Bulej", "Walter Binder"]
Fast, multicore-scalable, low-fragmentation memory allocation through large virtual memory and global data structures.	OOPSLA	2015	["Martin Aigner", "Christoph M. Kirsch", "Michael Lippautz", "Ana Sokolova"]
Probability type inference for flexible approximate programming.	OOPSLA	2015	["Brett Boston", "Adrian Sampson", "Dan Grossman", "Luis Ceze"]
Cross-layer memory management for managed language applications.	OOPSLA	2015	["Michael R. Jantz", "Forrest J. Robinson", "Prasad A. Kulkarni", "Kshitij A. Doshi"]
Static analysis of event-driven Node.js JavaScript applications.	OOPSLA	2015	["Magnus Madsen", "Frank Tip", "Ondrej Lhot\u00e1k"]
EXPLORER : query- and demand-driven exploration of interprocedural control flow properties.	OOPSLA	2015	["Yu Feng", "Xinyu Wang", "Isil Dillig", "Calvin Lin"]
Giga-scale exhaustive points-to analysis for Java in under a minute.	OOPSLA	2015	["Jens Dietrich", "Nicholas Hollingum", "Bernhard Scholz"]
Galois transformers and modular abstract interpreters: reusable metatheory for program analysis.	OOPSLA	2015	["David Darais", "Matthew Might", "David Van Horn"]
Learning a strategy for adapting a program analysis via bayesian optimisation.	OOPSLA	2015	["Hakjoo Oh", "Hongseok Yang", "Kwangkeun Yi"]
Runtime pointer disambiguation.	OOPSLA	2015	["P\u00e9ricles Alves", "Fabian Gruber", "Johannes Doerfert", "Alexandros Lamprineas", "Tobias Grosser", "Fabrice Rastello", "Fernando Magno Quint\u00e3o Pereira"]
Performance problems you can fix: a dynamic analysis of memoization opportunities.	OOPSLA	2015	["Luca Della Toffola", "Michael Pradel", "Thomas R. Gross"]
RAIVE: runtime assessment of floating-point instability by vectorization.	OOPSLA	2015	["Wen-Chuan Lee", "Tao Bao", "Yunhui Zheng", "Xiangyu Zhang", "Keval Vora", "Rajiv Gupta"]
Automated backward error analysis for numerical code.	OOPSLA	2015	["Zhoulai Fu", "Zhaojun Bai", "Zhendong Su"]
Using C language extensions for developing embedded software: a case study.	OOPSLA	2015	["Markus Voelter", "Arie van Deursen", "Bernd Kolb", "Stephan Eberle"]
How scale affects structure in Java programs.	OOPSLA	2015	["Cristina V. Lopes", "Joel Ossher"]
Use at your own risk: the Java unsafe API in the wild.	OOPSLA	2015	["Luis Mastrangelo", "Luca Ponzanelli", "Andrea Mocci", "Michele Lanza", "Matthias Hauswirth", "Nathaniel Nystrom"]
Approximate computation with outlier detection in Topaz.	OOPSLA	2015	["Sara Achour", "Martin C. Rinard"]
Remote-scope promotion: clarified, rectified, and verified.	OOPSLA	2015	["John Wickerson", "Mark Batty", "Bradford M. Beckmann", "Alastair F. Donaldson"]
Incremental computation with names.	OOPSLA	2015	["Matthew A. Hammer", "Joshua Dunfield", "Kyle Headley", "Nicholas Labich", "Jeffrey S. Foster", "Michael W. Hicks", "David Van Horn"]
Checks and balances: constraint solving without surprises in object-constraint programming languages.	OOPSLA	2015	["Tim Felgentreff", "Todd D. Millstein", "Alan Borning", "Robert Hirschfeld"]
