Title	Venue	Year	Authors
bioLogic: Natto Cells as Nanoactuators for Shape Changing Interfaces.	CHI	2015	["Lining Yao", "Jifei Ou", "Chin-Yi Cheng", "Helene Steiner", "Wen Wang", "Guanyun Wang", "Hiroshi Ishii"]
Control of Non-Solid Diffusers by Electrostatic Charging.	CHI	2015	["Deepak Ranjan Sahoo", "Diego Martinez Plasencia", "Sriram Subramanian"]
Investigation of Material Properties for Thermal Imaging-Based Interaction.	CHI	2015	["Yomna Abdelrahman", "Alireza Sahami Shirazi", "Niels Henze", "Albrecht Schmidt"]
ShapeClip: Towards Rapid Prototyping with Shape-Changing Displays for Designers.	CHI	2015	["John Hardy", "Christian Weichel", "Faisal Taher", "John Vidler", "Jason Alexander"]
FluxPaper: Reinventing Paper with Dynamic Actuation Powered by Magnetic Flux.	CHI	2015	["Masa Ogata", "Masaaki Fukumoto"]
TabLETS Get Physical: Non-Visual Text Entry on Tablet Devices.	CHI	2015	["Jo\u00e3o Guerreiro", "Andr\u00e9 Rodrigues", "Kyle Montague", "Tiago Jo\u00e3o Vieira Guerreiro", "Hugo Nicolau", "Daniel Gon\u00e7alves"]
VocalSketch: Vocally Imitating Audio Concepts.	CHI	2015	["Mark Cartwright", "Bryan Pardo"]
An Evaluation of Multidimensional Controllers for Sound Design Tasks.	CHI	2015	["Robert Tubb", "Simon Dixon"]
AnnoTone: Record-time Audio Watermarking for Context-aware Video Editing.	CHI	2015	["Ryohei Suzuki", "Daisuke Sakamoto", "Takeo Igarashi"]
Exploring Gesture Sonification to Support Reflective Craft Practice.	CHI	2015	["Thomas Smith", "Simon J. Bowen", "Bettina Nissen", "Jonathan Hook", "Arno Verhoeven", "John Bowers", "Peter C. Wright", "Patrick Olivier"]
Remote Paper Prototype Testing.	CHI	2015	["Kevin Chen", "Haoqi Zhang"]
Controlling In-the-Wild Evaluation Studies of Public Displays.	CHI	2015	["Sandy Claes", "Niels Wouters", "Karin Slegers", "Andrew Vande Moere"]
Evaluation Probes.	CHI	2015	["Anna Luusua", "Johanna Ylipulli", "Marko Jurmu", "Henrika Pihlajaniemi", "Piia Markkanen", "Timo Ojala"]
Real-World Affinity Diagramming Practices: Bridging the Paper-Digital Gap.	CHI	2015	["Gunnar Harboe", "Elaine M. Huang"]
Situational Ethics: Re-thinking Approaches to Formal Ethics Requirements for Human-Computer Interaction.	CHI	2015	["Cosmin Munteanu", "Heather Molyneaux", "Wendy Moncur", "Mario Romero", "Susan O'Donnell", "John Vines"]
The Royal Corgi: Exploring Social Gaze Interaction for Immersive Gameplay.	CHI	2015	["M\u00e9lodie Vidal", "R\u00e9mi Bismuth", "Andreas Bulling", "Hans Gellersen"]
Exploring 3D User Interface Technologies for Improving the Gaming Experience.	CHI	2015	["Arun Kulshreshth", "Joseph J. LaViola Jr."]
Quantifying and Mitigating the Negative Effects of Local Latencies on Aiming in 3D Shooter Games.	CHI	2015	["Zenja Ivkovic", "Ian Stavness", "Carl Gutwin", "Steven W. T. Sutcliffe"]
First Person vs. Third Person Perspective in Digital Games: Do Player Preferences Affect Immersion?	CHI	2015	["Alena Denisova", "Paul A. Cairns"]
VIZMO Game Browser: Accessing Video Games by Visual Style and Mood.	CHI	2015	["Jin Ha Lee", "Sungsoo (Ray) Hong", "Hyerim Cho", "Yea-Seul Kim"]
