Title	Venue	Year	Authors
Test complement exclusion: guarantees from dynamic analysis.	ICPC	2015	["Andreas Zeller"]
Concise and consistent naming: ten years later.	ICPC	2015	["Florian Deissenboeck", "Markus Pizka"]
Discovering loners and phantoms in commit and issue data.	ICPC	2015	["Gerald Schermann", "Martin Brandtner", "Sebastiano Panichella", "Philipp Leitner", "Harald C. Gall"]
Detection of software evolution phases based on development activities.	ICPC	2015	["Omar Benomar", "Hani Abdeen", "Houari A. Sahraoui", "Pierre Poulin", "Mohamed Aymen Saied"]
I know what you did last summer: an investigation of how developers spend their time.	ICPC	2015	["Roberto Minelli", "Andrea Mocci", "Michele Lanza"]
RCLinker: automated linking of issue reports and commits leveraging rich contextual information.	ICPC	2015	["Tien-Duy B. Le", "Mario Linares V\u00e1squez", "David Lo", "Denys Poshyvanyk"]
Generating reproducible and replayable bug reports from Android application crashes.	ICPC	2015	["Martin White", "Mario Linares V\u00e1squez", "Peter Johnson", "Carlos Bernal-C\u00e1rdenas", "Denys Poshyvanyk"]
Active semi-supervised defect categorization.	ICPC	2015	["Ferdian Thung", "Xuan-Bach D. Le", "David Lo"]
Could we infer unordered API usage patterns only using the library source code?	ICPC	2015	["Mohamed Aymen Saied", "Hani Abdeen", "Omar Benomar", "Houari A. Sahraoui"]
Searching the state space: a qualitative study of API protocol usability.	ICPC	2015	["Joshua Sunshine", "James D. Herbsleb", "Jonathan Aldrich"]
Synonym suggestion for tags on stack overflow.	ICPC	2015	["Stefanie Beyer", "Martin Pinzger"]
Code, camera, action: how software developers document and share program knowledge using YouTube.	ICPC	2015	["Laura MacLeod", "Margaret-Anne Storey", "Andreas Bergen"]
Generating refactoring proposals to remove clones from automated system tests.	ICPC	2015	["Benedikt Hauptmann", "Elmar J\u00fcrgens", "Volkmar Woinke"]
Framework instantiation using cookbooks constructed with static and dynamic analysis.	ICPC	2015	["Raquel Fialho Lafet\u00e1", "Marcelo de Almeida Maia", "David R\u00f6thlisberger"]
Two user perspectives in program comprehension: end users and developer users.	ICPC	2015	["Tobias Roehm"]
Exploring the use of concern element role information in feature location evaluation.	ICPC	2015	["Emily Hill", "David C. Shepherd", "Lori L. Pollock"]
Rethinking user interfaces for feature location.	ICPC	2015	["Fabian Beck", "Bogdan Dit", "Jaleo Velasco-Madden", "Daniel Weiskopf", "Denys Poshyvanyk"]
Detecting clones in Android applications through analyzing user interfaces.	ICPC	2015	["Charlie Soh", "Hee Beng Kuan Tan", "Yauhen Leanidavich Arnatovich", "Lipo Wang"]
Manually locating features in industrial source code: the search actions of software nomads.	ICPC	2015	["Howell R. Jordan", "Jacek Rosik", "Sebastian Herold", "Goetz Botterweck", "Jim Buckley"]
From obfuscation to comprehension.	ICPC	2015	["Eran Avidan", "Dror G. Feitelson"]
The plague doctor: a promising cure for the window plague.	ICPC	2015	["Roberto Minelli", "Andrea Mocci", "Michele Lanza"]
