Title	Venue	Year	Authors
The Future of Software Engineering (SEIP Keynote).	ICSE (2)	2015	["Grady Booch"]
Software Engineering in Ferrari F1.	ICSE (1)	2015	["Claudio Silenzi"]
Mining the Metadata - and Its Consequences.	ICSE (1)	2015	["Susan Landau"]
Enron's Spreadsheets and Related Emails: A Dataset and Analysis.	ICSE (2)	2015	["Felienne Hermans", "Emerson R. Murphy-Hill"]
Views on Internal and External Validity in Empirical Software Engineering.	ICSE (1)	2015	["Janet Siegmund", "Norbert Siegmund", "Sven Apel"]
An Empirical Study on Quality Issues of Production Big Data Platform.	ICSE (2)	2015	["Hucheng Zhou", "Jian-Guang Lou", "Hongyu Zhang", "Haibo Lin", "Haoxiang Lin", "Tingting Qin"]
Developing and Evaluating Software Engineering Process Theories.	ICSE (1)	2015	["Paul Ralph"]
Code Reviews Do Not Find Bugs. How the Current Code Review Best Practice Slows Us Down.	ICSE (2)	2015	["Jacek Czerwonka", "Michaela Greiler", "Jack Tilford"]
Systematic Testing of Reactive Software with Non-Deterministic Events: A Case Study on LG Electric Oven.	ICSE (2)	2015	["Yongbae Park", "Shin Hong", "Moonzoo Kim", "Dongju Lee", "Junhee Cho"]
Automated Data Structure Generation: Refuting Common Wisdom.	ICSE (1)	2015	["Kyle Dewey", "Lawton Nichols", "Ben Hardekopf"]
Empirically Detecting False Test Alarms Using Association Rules.	ICSE (2)	2015	["Kim Herzig", "Nachiappan Nagappan"]
Automated Modularization of GUI Test Cases.	ICSE (1)	2015	["Rahulkrishna Yandrapally", "Giriprasad Sridhara", "Saurabh Sinha"]
Striving for Failure: An Industrial Case Study about Test Failure Prediction.	ICSE (2)	2015	["Jeff Anderson", "Saeed Salem", "Hyunsook Do"]
Making System User Interactive Tests Repeatable: When and What Should We Control?	ICSE (1)	2015	["Zebao Gao", "Yalan Liang", "Myra B. Cohen", "Atif M. Memon", "Zhen Wang"]
Automatic and Continuous Software Architecture Validation.	ICSE (2)	2015	["Maayan Goldstein", "Itai Segall"]
ZoomIn: Discovering Failures by Detecting Wrong Assertions.	ICSE (1)	2015	["Fabrizio Pastore", "Leonardo Mariani"]
Comparing Software Architecture Recovery Techniques Using Accurate Dependencies.	ICSE (2)	2015	["Thibaud Lutellier", "Devin Chollak", "Joshua Garcia", "Lin Tan", "Derek Rayside", "Nenad Medvidovic", "Robert Kroeger"]
Composite Constant Propagation: Application to Android Inter-Component Communication Analysis.	ICSE (1)	2015	["Damien Octeau", "Daniel Luchaup", "Matthew Dering", "Somesh Jha", "Patrick McDaniel"]
SPF: A Middleware for Social Interaction in Mobile Proximity Environments.	ICSE (2)	2015	["Luciano Baresi", "Laurent-Walter Goix", "Sam Guinea", "Valerio Panzica La Manna", "Jacopo Aliprandi", "Dario Archetti"]
Merits of Organizational Metrics in Defect Prediction: An Industrial Replication.	ICSE (2)	2015	["Bora Caglayan", "Burak Turhan", "Ayse Basar Bener", "Mayy Habayeb", "Andriy Miransky", "Enzo Cialini"]
Static Control-Flow Analysis of User-Driven Callbacks in Android Applications.	ICSE (1)	2015	["Shengqian Yang", "Dacong Yan", "Haowei Wu", "Yan Wang", "Atanas Rountev"]
Online Defect Prediction for Imbalanced Data.	ICSE (2)	2015	["Ming Tan", "Lin Tan", "Sashank Dara", "Caleb Mayeux"]
Truth in Advertising: The Hidden Cost of Mobile Ads for Software Developers.	ICSE (1)	2015	["Jiaping Gui", "Stuart Mcilroy", "Meiyappan Nagappan", "William G. J. Halfond"]
Measuring Dependency Freshness in Software Systems.	ICSE (2)	2015	["Joel Cox", "Eric Bouwers", "Marko C. J. D. van Eekelen", "Joost Visser"]
Interactive Code Review for Systematic Changes.	ICSE (1)	2015	["Tianyi Zhang", "Myoungkyu Song", "Joseph Pinedo", "Miryung Kim"]
A Large-Scale Technology Evaluation Study: Effects of Model-based Analysis and Testing.	ICSE (2)	2015	["Michael Kl\u00e4s", "Thomas Bauer", "Andreas Dereani", "Thomas Soderqvist", "Philipp Helle"]
Automated Decomposition of Build Targets.	ICSE (1)	2015	["Mohsen Vakilian", "Raluca Sauciuc", "J. David Morgenthaler", "Vahab S. Mirrokni"]
Metamorphic Model-Based Testing Applied on NASA DAT - An Experience Report.	ICSE (2)	2015	["Mikael Lindvall", "Dharmalingam Ganesan", "Ragnar Ardal", "Robert E. Wiegand"]
