Title	Venue	Year	Authors
Comprehension by Derivation.	IWPC	2005	["Douglas R. Smith"]
A Qualitative Comparison of Three Aspect Mining Techniques.	IWPC	2005	["Mariano Ceccato", "Marius Marin", "Kim Mens", "Leon Moonen", "Paolo Tonella", "Tom Tourw\u00e9"]
Understanding Concerns in Software: Insights Gained from Two Case Studies.	IWPC	2005	["Meghan Revelle", "Tiffany Broadbent", "David Coppit"]
Static Techniques for Concept Location in Object-Oriented Code.	IWPC	2005	["Andrian Marcus", "V\u00e1clav Rajlich", "Joseph Buchta", "Maksym Petrenko", "Andrey Sergeyev"]
Presenting Micro-Theories of Program Comprehension in Pattern Form.	IWPC	2005	["Adam Murray", "Timothy C. Lethbridge"]
An Investigation into Professional Programmers' Mental Representations of Variables.	IWPC	2005	["Jorma Sajaniemi", "Raquel Navarro-Prieto"]
An Investigation of Java Abstraction Usage for Program Modifications.	IWPC	2005	["Pamela O'Shea", "Christopher Exton"]
Identifying and Addressing Problems in Framework Reuse.	IWPC	2005	["Douglas Kirk", "Marc Roper", "Murray Wood"]
What Can Programmer Questions Tell Us About Frameworks?	IWPC	2005	["Daqing Hou", "Kenny Wong", "H. James Hoover"]
Concise and Consistent Naming.	IWPC	2005	["Florian Dei\u00dfenb\u00f6ck", "Markus Pizka"]
Working Session: Textual Views of Source Code to Support Comprehension.	IWPC	2005	["Anthony Cox", "Michael L. Collard"]
On the Comprehension of Security Risk Scenarios.	IWPC	2005	["Ida Hogganvik", "Ketil St\u00f8len"]
Modelling the Information-Seeking Behaviour of Programmers - An Empirical Approach.	IWPC	2005	["Michael P. O'Brien", "Jim Buckley"]
A COTS Component Comprehension Process.	IWPC	2005	["Anneliese Amschler Andrews", "Andreas Stefik", "Nina Picone", "Sudipto Ghosh"]
The CodeSurfer Software Understanding Platform.	IWPC	2005	["Paul Anderson", "Mark Zarins"]
JRipples: A Tool for Program Comprehension during Incremental Change.	IWPC	2005	["Jonathan Buckner", "Joseph Buchta", "Maksym Petrenko", "V\u00e1clav Rajlich"]
HyperSoft System: Tool Demonstration and Use Example.	IWPC	2005	["Jussi Koskinen"]
SEAT: A Usable Trace Analysis Tool.	IWPC	2005	["Abdelwahab Hamou-Lhadj", "Timothy C. Lethbridge", "Lianjiang Fu"]
REGoLive: Web Site Comprehension with Viewpoints.	IWPC	2005	["Grace Gui", "Holger M. Kienle", "Hausi A. M\u00fcller"]
Tool Demonstration: CHET: Checking Specifications in Java Systems.	IWPC	2005	["Steven P. Reiss"]
Tool Demonstration: JIVE and JOVE: Java as it Happens.	IWPC	2005	["Steven P. Reiss", "Manos Renieris"]
NavTracks: Supporting Navigation in Software.	IWPC	2005	["Janice Singer", "Robert Elves", "Margaret-Anne D. Storey"]
Browsing Software Architectures With LSEdit.	IWPC	2005	["Nikita Synytskyy", "Richard C. Holt", "Ian J. Davis"]
